Rank;CCA3;Country/Territory;Capital;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (km²);Density (per km²);Growth Rate;World Population Percentage
93;PNG;Papua New Guinea;Port Moresby;Oceania;10142619;9749640;8682174;7583269;5508297;3864972;3104788;2489059;462840;219139;10194;13
109;PRY;Paraguay;Asunción;South America;6780744;6618695;6177950;5768613;5123819;4059195;3078912;2408787;406752;166705;10115;9
44;PER;Peru;Lima;South America;34049588;33304756;30711863;29229572;26654439;22109099;17492406;13562371;1285216;264933;10099;43
13;PHL;Philippines;Manila;Asia;115559009;112190977;103031365;94636700;77958223;61558898;48419546;37435586;342353;3375434;10147;145
37;POL;Poland;Warsaw;Europe;39857145;38428366;38553146;38597353;38504431;38064255;35521429;32482943;312679;1274698;10404;5
92;PRT;Portugal;Lisbon;Europe;10270865;10298192;10365435;10588401;10300626;10007346;9785252;8683631;92090;1115307;9981;13
136;PRI;Puerto Rico;San Juan;North America;3252407;3271564;3497335;3717922;3827108;3543776;3214568;2737619;8870;366675;9989;4
143;QAT;Qatar;Doha;Asia;2695122;2760385;2414573;1713504;645937;441675;277450;118007;11586;2326189;10026;3
114;COG;Republic of the Congo;Brazzaville;Africa;5970424;5702174;5064386;4437884;3134030;2385435;1829256;1396989;342000;174574;10231;7
161;REU;Reunion;Saint-Denis;Africa;974052;957822;922495;890130;785424;658992;551674;473925;2511;387914;10082;1
64;ROU;Romania;Bucharest;Europe;19659267;19442038;19906079;20335211;21919876;22836234;22125224;19922618;238391;824665;10171;25
9;RUS;Russia;Moscow;Europe;144713314;145617329;144668389;143242599;146844839;148005704;138257420;130093010;17098242;84636;9973;181
76;RWA;Rwanda;Kigali;Africa;13776698;13146362;11642959;10309031;8109989;7319962;5247532;3896367;26338;5230731;10234;17
228;BLM;Saint Barthelemy;Gustavia;North America;10967;10681;9643;8988;7082;5168;2983;2417;21;5222381;10098;0
211;KNA;Saint Kitts and Nevis;Basseterre;North America;47657;47642;47790;47403;45461;40636;43097;44968;261;1825939;10011;0
190;LCA;Saint Lucia;Castries;North America;179857;179237;175623;170935;159500;142301;121633;103090;616;2919756;10011;0
220;MAF;Saint Martin;Marigot;North America;31791;32552;35020;36458;29610;28127;7776;5802;53;5998302;9951;0
229;SPM;Saint Pierre and Miquelon;Saint-Pierre;North America;5862;5906;5978;6052;6274;6324;6106;5537;242;242231;9964;0
199;VCT;Saint Vincent and the Grenadines;Kingstown;North America;103948;104632;106482;109308;113813;112487;107480;98459;389;2672185;9963;0
188;WSM;Samoa;Apia;Oceania;222382;214929;203571;194672;184008;168186;164905;142771;2842;782484;10165;0
218;SMR;San Marino;San Marino;Europe;33660;34007;33570;31608;26823;23132;21346;18169;61;5518033;9975;0
187;STP;Sao Tome and Principe;São Tomé;Africa;227380;218641;201124;182138;143714;120343;97210;77583;964;2358714;10192;0
41;SAU;Saudi Arabia;Riyadh;Asia;36408820;35997107;32749848;29411929;21547390;16004763;10171710;6106191;2149690;169368;10128;46
72;SEN;Senegal;Dakar;Africa;17316449;16436119;14356181;12530121;9704287;7536001;5703869;4367744;196722;88025;10261;22
